date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:00	76/76	---MCZ	200	added ('OK')	text/plain	date:Fri,%2012%20Apr%202019%2007:03:00%20GMT	http://www.urbanui.com/robots.txt		(from )
12:33:01	46669/46669	---M-Z	200	added ('OK')	text/html	etag:%22b64d-576d93eb1adc8-gzip%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/index.html	(from )
12:33:02	119233/119233	---MCZ	200	added ('OK')	text/css	etag:W/%225bab8a31-1d1c1%22	http://www.urbanui.com/serein/template/vendors/iconfonts/mdi/font/css/materialdesignicons.min.css	C:/vendor/vendor/www.urbanui.com/serein/template/vendors/iconfonts/mdi/font/css/materialdesignicons.min.css	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:02	2444/2444	---MCZ	200	added ('OK')	text/css	etag:W/%225bab8a31-98c%22	http://www.urbanui.com/serein/template/vendors/css/vendor.bundle.base.css	C:/vendor/vendor/www.urbanui.com/serein/template/vendors/css/vendor.bundle.base.css	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:07	1460/1460	---M--	200	added ('OK')	image/png	etag:%225bab8a31-5b4%22	http://www.urbanui.com/serein/template/images/favicon.png	C:/vendor/vendor/www.urbanui.com/serein/template/images/favicon.png	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:07	303488/303488	---MCZ	200	added ('OK')	text/css	etag:W/%225bab8a31-4a180%22	http://www.urbanui.com/serein/template/vendors/css/vendor.bundle.addons.css	C:/vendor/vendor/www.urbanui.com/serein/template/vendors/css/vendor.bundle.addons.css	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:07	880341/880341	---MCZ	200	added ('OK')	text/css	etag:W/%225bcdc2c5-d6ed5%22	http://www.urbanui.com/serein/template/css/vertical-layout-light/style.css	C:/vendor/vendor/www.urbanui.com/serein/template/css/vertical-layout-light/style.css	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:07	46669/46669	---MCZ	200	added ('OK')	text/html	etag:W/%225bacc90b-b64d%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/index.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/index-2.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:07	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%225bab8a31-2dd0%22	http://www.urbanui.com/serein/template/images/faces/face4.jpg	C:/vendor/vendor/www.urbanui.com/serein/template/images/faces/face4.jpg	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:09	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%225bab8a31-3430%22	http://www.urbanui.com/serein/template/images/faces/face2.jpg	C:/vendor/vendor/www.urbanui.com/serein/template/images/faces/face2.jpg	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:09	10862/10862	---M--	200	added ('OK')	image/jpeg	etag:%225bab8a31-2a6e%22	http://www.urbanui.com/serein/template/images/faces/face5.jpg	C:/vendor/vendor/www.urbanui.com/serein/template/images/faces/face5.jpg	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:10	58707/58707	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-e553%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/ui-features/accordions.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/ui-features/accordions.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:11	60945/60945	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-ee11%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/ui-features/buttons.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/ui-features/buttons.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:11	45456/45456	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-b190%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/ui-features/badges.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/ui-features/badges.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:11	45614/45614	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-b22e%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/ui-features/breadcrumbs.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/ui-features/breadcrumbs.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
